Source,Target,Type,ID,Label,Weight
4,51,Directed,1,,1
4,132,Directed,2,,1
4,180,Directed,3,,2
5,11,Directed,4,,1
5,19,Directed,5,,1
5,44,Directed,6,,1
5,52,Directed,7,,4
5,75,Directed,8,,1
5,157,Directed,9,,1
5,165,Directed,10,,1
5,174,Directed,11,,1
5,180,Directed,12,,3
5,218,Directed,13,,1
5,220,Directed,14,,2
5,232,Directed,15,,1
6,7,Directed,16,,1
6,10,Directed,17,,2
6,12,Directed,18,,2
6,13,Directed,19,,1
6,22,Directed,20,,2
6,40,Directed,21,,1
6,43,Directed,22,,2
6,53,Directed,23,,2
6,54,Directed,24,,3
6,55,Directed,25,,2
6,57,Directed,26,,1
6,58,Directed,27,,4
6,58,Directed,28,,1
6,66,Directed,29,,1
6,67,Directed,30,,3
6,74,Directed,31,,2
6,132,Directed,32,,1
6,132,Directed,33,,1
6,178,Directed,34,,1
7,6,Directed,35,,1
7,11,Directed,36,,2
7,13,Directed,37,,10
7,40,Directed,38,,1
7,44,Directed,39,,1
7,54,Directed,40,,2
7,55,Directed,41,,1
7,56,Directed,42,,2
7,57,Directed,43,,1
7,58,Directed,44,,2
7,67,Directed,45,,1
7,77,Directed,46,,3
7,168,Directed,47,,1
8,9,Directed,48,,1
8,12,Directed,49,,1
8,17,Directed,50,,1
8,18,Directed,51,,7
9,8,Directed,52,,1
9,13,Directed,53,,1
9,19,Directed,54,,12
9,40,Directed,55,,1
10,11,Directed,56,,1
10,12,Directed,57,,3
10,14,Directed,58,,2
10,40,Directed,59,,1
10,41,Directed,60,,1
10,43,Directed,61,,1
10,45,Directed,62,,2
10,49,Directed,63,,2
10,72,Directed,64,,1
10,77,Directed,65,,1
10,171,Directed,66,,1
11,5,Directed,67,,1
11,7,Directed,68,,2
11,10,Directed,69,,1
11,13,Directed,70,,6
11,40,Directed,71,,1
11,42,Directed,72,,1
11,46,Directed,73,,2
11,73,Directed,74,,1
11,73,Directed,75,,1
11,76,Directed,76,,1
11,77,Directed,77,,1
12,8,Directed,78,,1
12,18,Directed,79,,1
12,40,Directed,80,,1
12,53,Directed,81,,2
12,55,Directed,82,,1
12,110,Directed,83,,1
12,161,Directed,84,,1
12,167,Directed,85,,1
12,171,Directed,86,,1
12,174,Directed,87,,1
12,174,Directed,88,,3
12,176,Directed,89,,2
12,177,Directed,90,,1
12,177,Directed,91,,1
12,182,Directed,92,,1
12,201,Directed,93,,2
12,222,Directed,94,,4
13,9,Directed,95,,1
13,54,Directed,96,,1
13,56,Directed,97,,3
13,59,Directed,98,,1
13,161,Directed,99,,1
13,166,Directed,100,,4
13,176,Directed,101,,4
13,176,Directed,102,,1
13,177,Directed,103,,1
13,181,Directed,104,,1
13,183,Directed,105,,1
13,221,Directed,106,,1
13,223,Directed,107,,1
14,10,Directed,108,,1
14,41,Directed,109,,2
14,49,Directed,110,,2
14,56,Directed,111,,2
14,57,Directed,112,,1
14,58,Directed,113,,1
14,60,Directed,114,,1
14,64,Directed,115,,2
14,65,Directed,116,,1
14,66,Directed,117,,1
14,158,Directed,118,,1
14,171,Directed,119,,1
14,214,Directed,120,,1
15,11,Directed,121,,5
15,42,Directed,122,,2
15,48,Directed,123,,2
15,50,Directed,124,,3
15,58,Directed,125,,1
15,131,Directed,126,,1
15,197,Directed,127,,1
16,9,Directed,128,,2
16,17,Directed,129,,2
16,39,Directed,130,,1
16,42,Directed,131,,1
16,42,Directed,132,,1
16,52,Directed,133,,1
16,52,Directed,134,,1
16,78,Directed,135,,3
16,166,Directed,136,,1
16,167,Directed,137,,2
17,8,Directed,138,,3
17,9,Directed,139,,1
17,10,Directed,140,,2
17,12,Directed,141,,2
17,16,Directed,142,,2
17,39,Directed,143,,1
17,40,Directed,144,,1
17,41,Directed,145,,1
17,51,Directed,146,,1
17,52,Directed,147,,1
17,79,Directed,148,,3
17,166,Directed,149,,2
18,19,Directed,150,,1
18,72,Directed,151,,3
18,76,Directed,152,,1
18,77,Directed,153,,1
18,166,Directed,154,,4
18,176,Directed,155,,1
19,5,Directed,156,,1
19,18,Directed,157,,1
19,73,Directed,158,,1
19,165,Directed,159,,6
19,167,Directed,160,,2
19,177,Directed,161,,1
22,53,Directed,162,,1
22,59,Directed,163,,2
22,60,Directed,164,,1
22,187,Directed,165,,1
39,5,Directed,166,,1
39,10,Directed,167,,3
39,12,Directed,168,,1
39,13,Directed,169,,2
39,18,Directed,170,,8
39,19,Directed,171,,5
39,76,Directed,172,,4
39,77,Directed,173,,1
39,165,Directed,174,,1
40,8,Directed,175,,1
40,9,Directed,176,,2
40,10,Directed,177,,1
40,11,Directed,178,,1
40,12,Directed,179,,2
40,13,Directed,180,,1
40,18,Directed,181,,2
40,19,Directed,182,,4
40,73,Directed,183,,1
40,76,Directed,184,,1
40,77,Directed,185,,1
41,10,Directed,186,,6
41,12,Directed,187,,3
41,17,Directed,188,,1
41,17,Directed,189,,1
41,49,Directed,190,,1
42,11,Directed,191,,8
42,13,Directed,192,,2
42,16,Directed,193,,1
42,19,Directed,194,,1
43,4,Directed,195,,3
43,10,Directed,196,,5
43,12,Directed,197,,2
43,44,Directed,198,,1
43,49,Directed,199,,1
43,53,Directed,200,,2
43,55,Directed,201,,6
43,57,Directed,202,,2
43,58,Directed,203,,2
43,168,Directed,204,,2
43,176,Directed,205,,1
43,178,Directed,206,,1
44,5,Directed,207,,2
44,11,Directed,208,,6
44,13,Directed,209,,1
44,43,Directed,210,,1
44,50,Directed,211,,1
44,54,Directed,212,,1
44,56,Directed,213,,3
44,57,Directed,214,,1
44,58,Directed,215,,1
44,60,Directed,216,,3
44,157,Directed,217,,1
44,165,Directed,218,,2
44,197,Directed,219,,2
44,197,Directed,220,,1
45,10,Directed,221,,2
45,12,Directed,222,,1
45,18,Directed,223,,2
45,40,Directed,224,,1
45,46,Directed,225,,1
45,49,Directed,226,,2
45,76,Directed,227,,1
45,77,Directed,228,,1
45,166,Directed,229,,1
46,10,Directed,230,,1
46,11,Directed,231,,2
46,11,Directed,232,,1
46,13,Directed,233,,1
46,39,Directed,234,,2
