Nodes,ID,Label,ColorOfNodes
ABalaaaa,98,ABalaaaa,"255,0,0"
ABalaaap,99,ABalaaap,"255,0,0"
ABalaapa,101,ABalaapa,"255,0,0"
ABalaapp,102,ABalaapp,"255,0,0"
ABalapaa,106,ABalapaa,"255,0,0"
ABalapap,105,ABalapap,"255,0,0"
Abalappa,108,Abalappa,"255,0,0"
ABalappp,109,ABalappp,"255,0,0"
ABalpaaa,120,ABalpaaa,"255,0,0"
ABalpaap,121,ABalpaap,"255,0,0"
ABalpapa,123,ABalpapa,"255,0,0"
ABalpapp,124,ABalpapp,"255,0,0"
ABalppaa,113,ABalppaa,"255,0,0"
ABalppap,114,ABalppap,"255,0,0"
ABalpppa,116,ABalpppa,"255,0,0"
ABalpppp,117,ABalpppp,"255,0,0"
ABaraaaa,77,ABaraaaa,"255,0,0"
ABaraaap,78,ABaraaap,"255,0,0"
ABaraapa,75,ABaraapa,"255,0,0"
ABaraapp,74,ABaraapp,"255,0,0"
ABarapaa,70,ABarapaa,"255,0,0"
ABarapap,71,ABarapap,"255,0,0"
ABarappa,67,ABarappa,"255,0,0"
ABarappp,68,ABarappp,"255,0,0"
ABarpaaa,92,ABarpaaa,"255,0,0"
ABarpaap,93,ABarpaap,"255,0,0"
ABarpapa,89,ABarpapa,"255,0,0"
ABarpapp,90,ABarpapp,"255,0,0"
ABarppaa,83,ABarppaa,"255,0,0"
ABarppap,82,ABarppap,"255,0,0"
ABarpppa,85,ABarpppa,"255,0,0"
ABarpppp,86,ABarpppp,"255,0,0"
ABplaaaa,13,ABplaaaa,"255,0,0"
ABplaaap,12,ABplaaap,"255,0,0"
ABplaapa,15,ABplaapa,"255,0,0"
ABplaapp,16,ABplaapp,"255,0,0"
ABplapaa,5,ABplapaa,"255,0,0"
ABplapap,6,ABplapap,"255,0,0"
ABplappp,8,ABplappp,"255,0,0"
ABplpaaa,27,ABplpaaa,"255,0,0"
ABplpaap,28,ABplpaap,"255,0,0"
ABplpapa,30,ABplpapa,"255,0,0"
ABplpapp,31,ABplpapp,"255,0,0"
ABplppaa,20,ABplppaa,"255,0,0"
ABplppap,21,ABplppap,"255,0,0"
ABplpppa,23,ABplpppa,"255,0,0"
ABplpppp,24,ABplpppp,"255,0,0"
ABpraaap,59,ABpraaap,"255,0,0"
ABpraapa,61,ABpraapa,"255,0,0"
ABpraapp,62,ABpraapp,"255,0,0"
ABprapaa,54,ABprapaa,"255,0,0"
ABprapap,55,ABprapap,"255,0,0"
ABprappa,52,ABprappa,"255,0,0"
ABprappp,51,ABprappp,"255,0,0"
ABprpaaa,36,ABprpaaa,"255,0,0"
ABprpaap,37,ABprpaap,"255,0,0"
ABprpapa,39,ABprpapa,"255,0,0"
ABprpapp,40,ABprpapp,"255,0,0"
ABprppaa,43,ABprppaa,"255,0,0"
ABprppap,44,ABprppap,"255,0,0"
ABprpppa,46,ABprpppa,"255,0,0"
ABprpppp,47,ABprpppp,"255,0,0"
Caaaa,201,Caaaa,"0,0,0"
Caaap,202,Caaap,"0,0,0"
Cappa,205,Cappa,"0,0,0"
Cappp,206,Cappp,"0,0,0"
Cpaaa,195,Cpaaa,"0,0,0"
Cpaap,196,Cpaap,"0,0,0"
Cpapa,193,Cpapa,"0,0,0"
Cpapp,192,Cpapp,"0,0,0"
Cppaa,185,Cppaa,"0,0,0"
Cppap,186,Cppap,"0,0,0"
Cpppa,188,Cpppa,"0,0,0"
Cpppp,189,Cpppp,"0,0,0"
Daaa,223,Daaa,"0,0,0"
Daap,224,Daap,"0,0,0"
Dapa,220,Dapa,"0,0,0"
Dapp,221,Dapp,"0,0,0"
Dpaa,213,Dpaa,"0,0,0"
Dpap,214,Dpap,"0,0,0"
Dppa,216,Dppa,"0,0,0"
Dppp,217,Dppp,"0,0,0"
Ealaa,166,Ealaa,"0,0,0"
Ealap,167,Ealap,"0,0,0"
Earaa,160,Earaa,"0,0,0"
Earap,161,Earap,"0,0,0"
Eplpa,178,Eplpa,"0,0,0"
Eplpp,179,Eplpp,"0,0,0"
Epraa,174,Epraa,"0,0,0"
Eprap,175,Eprap,"0,0,0"
Eprpa,171,Eprpa,"0,0,0"
Eprpp,172,Eprpp,"0,0,0"
MSaaaa,155,MSaaaa,"0,0,0"
MSaaap,154,MSaaap,"0,0,0"
MSaapa,152,MSaapa,"0,0,0"
MSaapp,151,MSaapp,"0,0,0"
MSapaa,144,MSapaa,"0,0,0"
MSapap,145,MSapap,"0,0,0"
MSappa,147,MSappa,"0,0,0"
MSappp,148,MSappp,"0,0,0"
MSpaaa,137,MSpaaa,"0,0,0"
MSpaap,136,MSpaap,"0,0,0"
MSpapa,140,MSpapa,"0,0,0"
MSpapp,139,MSpapp,"0,0,0"
MSppaa,132,MSppaa,"0,0,0"
MSppap,133,MSppap,"0,0,0"
MSpppa,129,MSpppa,"0,0,0"
MSpppp,130,MSpppp,"0,0,0"
