Nodes,ID,Label,ColorOfNodes
ADFL,4,ADFL,"255,0,0"
ADFR,5,ADFR,"255,0,0"
ADLL,6,ADLL,"31,31,100"
ADLR,7,ADLR,"0,0,0"
AIBL,12,AIBL,"31,31,100"
AIBR,13,AIBR,"0,0,0"
AIML,14,AIML,"31,31,100"
AIMR,15,AIMR,"0,0,0"
ASHL,43,ASHL,"0,0,0"
ASHR,44,ASHR,"0,0,0"
AVAL,53,AVAL,"0,0,0"
AVAR,54,AVAR,"0,0,0"
AVBR,56,AVBR,"0,0,0"
AVDL,57,AVDL,"255,0,0"
AVDR,58,AVDR,"31,31,100"
AVG,63,AVG,"0,0,0"
AVJL,66,AVJL,"31,31,100"
AVJR,67,AVJR,"31,31,100"
AVKL,68,AVKL,"31,31,100"
AVKR,69,AVKR,"31,31,100"
AVL,70,AVL,"31,31,100"
AWBL,74,AWBL,"31,31,100"
AWBR,75,AWBR,"31,31,100"
AWCL,76,AWCL,"0,0,0"
AWCR,77,AWCR,"0,0,0"
BAGL,78,BAGL,"31,31,100"
BAGR,79,BAGR,"0,0,0"
DVA,108,DVA,"31,31,100"
IL2DL,121,IL2DL,"31,31,100"
IL2DR,122,IL2DR,"31,31,100"
IL2L,123,IL2L,"255,0,0"
IL2R,124,IL2R,"31,31,100"
IL2VL,125,IL2VL,"31,31,100"
IL2VR,126,IL2VR,"31,31,100"
PDA,135,PDA,"0,0,0"
PHAL,139,PHAL,"31,31,100"
PHAR,140,PHAR,"31,31,100"
PVPL,157,PVPL,"0,0,0"
PVPR,158,PVPR,"0,0,0"
RIBL,167,RIBL,"0,0,0"
RIBR,168,RIBR,"0,0,0"
RIH,176,RIH,"31,31,100"
RIPL,179,RIPL,"31,31,100"
RIR,181,RIR,"0,0,0"
RIS,182,RIS,"31,31,100"
RIVR,184,RIVR,"0,0,0"
RMDDL,185,RMDDL,"31,31,100"
RMDDR,186,RMDDR,"0,0,0"
RMDVL,189,RMDVL,"0,0,0"
RMDVR,190,RMDVR,"0,0,0"
RMEV,194,RMEV,"255,0,0"
SAADL,201,SAADL,"0,0,0"
SAADR,202,SAADR,"0,0,0"
SAAVL,203,SAAVL,"0,0,0"
SAAVR,204,SAAVR,"0,0,0"
SABD,205,SABD,"0,0,0"
SIADL,210,SIADL,"0,0,0"
SIADR,211,SIADR,"0,0,0"
SIAVL,212,SIAVL,"0,0,0"
SIAVR,213,SIAVR,"0,0,0"
SIBDL,214,SIBDL,"0,0,0"
SIBDR,215,SIBDR,"0,0,0"
SIBVL,216,SIBVL,"0,0,0"
SIBVR,217,SIBVR,"0,0,0"
SMBVR,221,SMBVR,"0,0,0"
SMDVL,224,SMDVL,"31,31,100"
SMDVR,225,SMDVR,"0,0,0"
URBL,230,URBL,"31,31,100"
URBR,231,URBR,"0,0,0"
URYDL,234,URYDL,"31,31,100"
URYDR,235,URYDR,"31,31,100"
URYVL,236,URYVL,"0,0,0"
URYVR,237,URYVR,"0,0,0"
